"CountryName","Year","Lower","Median","Upper"
"Congo DR",1996,159,174.1,191.1
"Congo DR",1997,156.5,171.5,188.7
"Congo DR",1998,153.5,168.4,185.7
"Congo DR",1999,150.2,164.9,181.9
"Congo DR",2000,146.5,161,177.8
"Congo DR",2001,142.5,156.8,173.1
"Congo DR",2002,138.3,152.4,168.2
"Congo DR",2003,133.9,147.8,163.1
"Congo DR",2004,129.3,143.2,158.5
"Congo DR",2005,124.4,138.4,153.9
"Congo DR",2006,119.4,133.5,149.8
"Congo DR",2007,114,128.9,146.3
"Congo DR",2008,108.2,124.5,143
"Congo DR",2009,102.7,120.1,140.1
"Congo DR",2010,96.8,116.1,137.6
"Congo DR",2011,91.4,112.2,135.4
"Congo DR",2012,86.1,108.5,133
"Congo DR",2013,81,104.8,131.3
"Congo DR",2014,76.1,101.7,130.3
"Cote d Ivoire",1980,153.9,166.6,180.3
"Cote d Ivoire",1981,150.3,162.8,176
"Cote d Ivoire",1982,147.5,159.7,172.4
"Cote d Ivoire",1983,145.4,157.3,169.7
"Cote d Ivoire",1984,143.8,155.5,167.7
"Cote d Ivoire",1985,142.8,154.2,166.2
"Cote d Ivoire",1986,142,153.3,165.1
"Cote d Ivoire",1987,141.7,152.8,164.4
"Cote d Ivoire",1988,141.7,152.5,163.9
"Cote d Ivoire",1989,141.8,152.5,163.7
"Cote d Ivoire",1990,142.1,152.6,163.6
"Cote d Ivoire",1991,142.4,152.7,163.6
"Cote d Ivoire",1992,142.4,152.7,163.8
"Cote d Ivoire",1993,142.4,152.8,164.1
"Cote d Ivoire",1994,142.2,152.9,164.3
"Cote d Ivoire",1995,142,152.7,164.3
"Cote d Ivoire",1996,141.2,152.2,164.2
"Cote d Ivoire",1997,140.1,151.3,163.5
"Cote d Ivoire",1998,138.4,149.8,162.4
"Cote d Ivoire",1999,136.2,147.9,160.8
"Cote d Ivoire",2000,133.8,145.6,158.6
"Cote d Ivoire",2001,130.8,142.8,156
"Cote d Ivoire",2002,127.8,139.7,152.7
"Cote d Ivoire",2003,124.5,136.3,149.1
"Cote d Ivoire",2004,121.1,132.7,145.5
"Cote d Ivoire",2005,117.5,128.8,141.5
"Cote d Ivoire",2006,113.7,125.1,137.8
"Cote d Ivoire",2007,109.6,121.1,134.2
"Cote d Ivoire",2008,104.7,116.5,129.8
"Cote d Ivoire",2009,100.4,112.7,126.6
"Cote d Ivoire",2010,95.8,109.1,124.1
"Cote d Ivoire",2011,91.7,105.9,122.6
"Cote d Ivoire",2012,87,102.5,120.9
"Cote d Ivoire",2013,82,99,119.5
"Cote d Ivoire",2014,76.8,95.5,119.2
"Egypt",1980,160,167.6,175.5
"Egypt",1981,150.9,158.1,165.6
"Egypt",1982,141.7,148.4,155.3
"Egypt",1983,132.2,138.5,144.9
"Egypt",1984,122.8,128.5,134.3
"Egypt",1985,113.6,118.8,124.2
"Egypt",1986,105.1,110.1,115.2
"Egypt",1987,97.7,102.5,107.3
"Egypt",1988,91.5,96,100.6
"Egypt",1989,86.5,90.6,94.9
"Egypt",1990,82.1,85.9,90
"Egypt",1991,78,81.7,85.6
"Egypt",1992,73.9,77.5,81.4
"Egypt",1993,69.7,73.3,77.1
"Egypt",1994,65.5,68.9,72.7
"Egypt",1995,61.4,64.6,68.2
"Egypt",1996,57.4,60.4,63.8
"Egypt",1997,53.5,56.5,59.7
"Egypt",1998,49.9,52.8,56
"Egypt",1999,46.6,49.5,52.6
"Egypt",2000,43.6,46.5,49.5
"Egypt",2001,41,43.8,46.8
"Egypt",2002,38.6,41.4,44.3
"Egypt",2003,36.5,39.2,42.2
"Egypt",2004,34.6,37.3,40.3
"Egypt",2005,32.8,35.6,38.6
"Egypt",2006,31.2,34.1,37.1
"Egypt",2007,29.8,32.7,35.9
"Egypt",2008,28.4,31.4,34.8
"Egypt",2009,27,30.2,33.7
"Egypt",2010,25.6,29,32.8
"Egypt",2011,24.2,27.9,32
"Egypt",2012,22.9,26.8,31.4
"Egypt",2013,21.6,25.8,30.9
"Egypt",2014,20.3,24.8,30.5
"Eritrea",1980,171.7,191,211.8
"Eritrea",1981,169.6,188.2,208.3
"Eritrea",1982,167.5,185.3,204.6
"Eritrea",1983,165.1,182.3,200.7
"Eritrea",1984,162.5,179.1,196.8
"Eritrea",1985,159.6,175.7,192.7
"Eritrea",1986,156.3,171.8,188.2
"Eritrea",1987,152.4,167.5,183.3
"Eritrea",1988,148.1,162.7,178.1
"Eritrea",1989,143.6,157.3,172.2
"Eritrea",1990,138.4,151.4,165.7
"Eritrea",1991,132.7,145,158.8
"Eritrea",1992,126.7,138.2,151.3
"Eritrea",1993,120.3,131.2,143.5
"Eritrea",1994,113.8,124.1,135.6
"Eritrea",1995,107.3,117.3,128.2
"Eritrea",1996,101.2,110.8,121.3
"Eritrea",1997,95.5,104.8,114.8
"Eritrea",1998,90.2,99.2,108.9
"Eritrea",1999,85.4,94,103.3
"Eritrea",2000,80.7,89.1,98.2
"Eritrea",2001,76.2,84.6,93.8
"Eritrea",2002,72,80.4,89.8
"Eritrea",2003,67.8,76.5,86.2
"Eritrea",2004,63.8,72.9,83
"Eritrea",2005,60,69.5,80.2
